Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type
L,297.9,307.8,1538.0,38.5,123.0,0,No Failure
M,297.9,307.7,1527.0,42.8,125.0,0,No Failure
L,297.8,307.8,1761.0,28.9,128.0,0,No Failure
L,297.9,307.8,1373.0,50.2,130.0,0,No Failure
H,298.0,307.9,1482.0,37.8,132.0,0,No Failure
M,298.0,307.9,1417.0,51.0,137.0,0,No Failure
L,298.0,307.8,1414.0,51.7,140.0,0,No Failure
H,297.9,307.8,1635.0,34.0,142.0,0,No Failure
L,298.0,307.8,1386.0,57.3,147.0,0,No Failure
L,298.2,308.1,1379.0,62.3,149.0,0,No Failure
M,298.2,308.0,1577.0,35.9,151.0,0,No Failure
L,298.2,308.1,1532.0,42.5,154.0,0,No Failure
M,298.1,308.0,1374.0,48.8,156.0,0,No Failure
H,298.1,308.0,1570.0,35.3,159.0,0,No Failure
L,298.1,308.0,1697.0,31.0,164.0,0,No Failure
L,298.2,308.0,1499.0,44.1,166.0,0,No Failure
M,298.2,308.0,1411.0,47.2,168.0,0,No Failure
H,298.2,307.9,1462.0,45.5,171.0,0,No Failure
M,298.1,307.9,1759.0,28.6,176.0,0,No Failure
L,298.2,308.0,1535.0,38.0,179.0,0,No Failure
H,298.2,307.9,1491.0,39.7,181.0,0,No Failure
L,298.2,307.9,1551.0,36.0,186.0,0,No Failure
L,298.2,307.9,1769.0,27.2,188.0,0,No Failure
L,298.2,307.9,1551.0,34.1,190.0,0,No Failure
L,298.2,307.9,1544.0,31.4,192.0,0,No Failure
L,298.2,307.8,1528.0,31.1,194.0,0,No Failure
L,298.1,307.9,1614.0,35.8,196.0,0,No Failure
L,298.1,307.8,1432.0,49.8,198.0,0,No Failure
M,298.1,307.8,1384.0,43.7,200.0,0,No Failure
L,298.1,307.8,1540.0,37.8,203.0,0,No Failure
L,298.0,307.7,1407.0,43.9,205.0,0,No Failure
H,297.9,307.6,1418.0,43.0,207.0,0,No Failure
M,297.9,307.5,1647.0,30.8,212.0,0,No Failure
L,298.0,307.5,1644.0,32.8,215.0,0,No Failure
L,298.0,307.5,1792.0,27.9,217.0,0,No Failure
M,297.9,307.4,1610.0,34.6,219.0,0,No Failure
M,297.8,307.3,1804.0,26.0,222.0,0,No Failure
H,297.9,307.4,1604.0,36.1,225.0,1,TWF
M,297.9,307.4,1403.0,52.8,0.0,0,No Failure
L,297.8,307.3,1438.0,44.5,3.0,0,No Failure
L,297.9,307.3,1824.0,26.3,5.0,0,No Failure
H,297.9,307.3,1663.0,28.7,7.0,0,No Failure
L,297.9,307.3,1502.0,36.7,12.0,0,No Failure
L,297.9,307.4,1606.0,35.5,14.0,0,No Failure
L,297.9,307.5,1561.0,37.7,16.0,0,No Failure
M,297.9,307.4,1435.0,42.9,18.0,0,No Failure
L,297.9,307.5,1602.0,38.3,21.0,0,No Failure
M,298.1,307.6,1764.0,27.7,23.0,0,No Failure
H,298.0,307.5,1683.0,27.8,26.0,0,No Failure
L,298.0,307.5,1618.0,35.2,31.0,0,No Failure
L,298.0,307.6,1509.0,41.6,33.0,0,No Failure
L,297.9,307.6,1550.0,39.0,35.0,0,No Failure
M,297.9,307.6,1519.0,44.0,37.0,0,No Failure
L,297.9,307.6,1481.0,38.0,40.0,0,No Failure
L,298.1,307.7,1289.0,48.3,42.0,0,No Failure
M,298.0,307.6,1844.0,23.8,44.0,0,No Failure
L,298.0,307.7,1479.0,42.5,47.0,0,No Failure
L,298.0,307.7,1430.0,47.3,49.0,0,No Failure
M,298.1,307.8,1636.0,36.7,51.0,0,No Failure
M,298.1,307.8,1503.0,44.7,54.0,0,No Failure
M,298.1,307.8,1608.0,32.6,57.0,0,No Failure
L,298.2,307.8,1521.0,42.9,60.0,0,No Failure
L,298.2,307.8,1439.0,41.6,62.0,0,No Failure
L,298.2,307.8,1627.0,31.5,64.0,0,No Failure
L,298.2,307.8,1749.0,26.1,66.0,0,No Failure
L,298.2,307.8,1530.0,35.9,68.0,0,No Failure
L,298.2,307.8,1355.0,51.3,70.0,0,No Failure
L,298.3,307.9,1551.0,33.8,72.0,0,No Failure
L,298.2,307.8,1515.0,46.7,74.0,0,No Failure
L,298.2,307.8,1388.0,48.6,76.0,0,No Failure
L,298.2,307.8,1585.0,34.6,78.0,0,No Failure
L,298.1,307.7,1523.0,37.7,80.0,0,No Failure
L,298.2,307.6,1369.0,54.5,82.0,0,No Failure
M,298.2,307.7,1681.0,31.0,84.0,0,No Failure
L,298.2,307.7,1503.0,38.3,87.0,0,No Failure
L,298.2,307.7,1459.0,44.5,89.0,0,No Failure
L,298.2,307.7,1688.0,32.4,91.0,0,No Failure
M,298.2,307.7,1952.0,21.6,93.0,0,No Failure
L,298.2,307.8,2029.0,19.9,96.0,0,No Failure
M,298.3,307.8,1457.0,52.5,98.0,0,No Failure
M,298.3,307.8,1392.0,50.4,101.0,0,No Failure
L,298.3,307.8,1906.0,22.1,104.0,0,No Failure
M,298.3,307.7,1602.0,33.4,106.0,0,No Failure
L,298.3,307.7,1465.0,49.4,109.0,0,No Failure
M,298.3,307.7,1439.0,43.8,111.0,0,No Failure
M,298.3,307.8,1330.0,55.4,114.0,0,No Failure
M,298.3,307.9,1485.0,42.0,117.0,0,No Failure
H,298.4,307.9,1700.0,28.2,120.0,0,No Failure
L,298.4,308.0,1515.0,42.8,125.0,0,No Failure
M,298.5,308.1,1501.0,39.2,127.0,0,No Failure
L,298.4,308.0,1380.0,47.6,130.0,0,No Failure
L,298.4,307.9,1544.0,35.9,132.0,0,No Failure
L,298.4,307.9,1743.0,27.3,134.0,0,No Failure
H,298.4,307.9,1948.0,21.4,136.0,0,No Failure
H,298.5,307.9,1260.0,54.2,141.0,0,No Failure
M,298.5,307.9,1640.0,33.1,146.0,0,No Failure
M,298.5,308.0,1363.0,49.2,149.0,0,No Failure
L,298.5,308.0,1379.0,49.6,152.0,0,No Failure
M,298.5,308.0,1713.0,25.8,154.0,0,No Failure
M,298.5,308.0,1461.0,51.9,157.0,0,No Failure
L,298.5,308.0,1624.0,29.8,160.0,0,No Failure
L,298.4,308.0,1526.0,41.1,162.0,0,No Failure
L,298.4,307.9,2381.0,14.2,164.0,0,No Failure
L,298.3,307.7,1576.0,33.8,171.0,0,No Failure
M,298.4,307.8,1617.0,31.6,173.0,0,No Failure
L,298.3,307.6,1942.0,20.6,176.0,0,No Failure
L,298.2,307.6,1492.0,37.2,178.0,0,No Failure
L,298.2,307.5,1470.0,51.3,180.0,0,No Failure
M,298.0,307.4,1463.0,46.5,182.0,0,No Failure
L,298.0,307.3,1424.0,46.5,185.0,0,No Failure
M,298.1,307.4,1363.0,60.1,187.0,0,No Failure
M,298.1,307.4,1335.0,56.2,190.0,0,No Failure
L,298.1,307.4,1608.0,33.9,193.0,0,No Failure
H,298.0,307.4,1606.0,35.2,195.0,0,No Failure
L,298.1,307.5,1684.0,33.1,200.0,0,No Failure
L,298.1,307.6,1950.0,20.3,202.0,0,No Failure
H,298.2,307.6,1460.0,48.6,204.0,0,No Failure
L,298.2,307.6,1511.0,31.0,209.0,1,TWF
H,298.2,307.6,1318.0,55.7,0.0,0,No Failure
L,298.2,307.6,1368.0,51.8,5.0,0,No Failure
M,298.3,307.7,1717.0,27.1,7.0,0,No Failure
M,298.3,307.7,1520.0,41.4,10.0,0,No Failure
M,298.3,307.8,1485.0,42.0,13.0,0,No Failure
L,298.4,307.9,1981.0,23.2,16.0,0,No Failure
H,298.4,307.9,1605.0,31.0,18.0,0,No Failure
L,298.4,307.9,1446.0,45.3,23.0,0,No Failure
L,298.4,308.0,1508.0,47.9,25.0,0,No Failure
L,298.5,308.0,1384.0,59.5,27.0,0,No Failure
M,298.5,308.0,1519.0,37.3,29.0,0,No Failure
L,298.5,308.0,1404.0,48.1,32.0,0,No Failure
L,298.5,308.1,1564.0,31.1,34.0,0,No Failure
H,298.6,308.2,1555.0,36.8,36.0,0,No Failure
L,298.6,308.2,1325.0,54.0,41.0,0,No Failure
M,298.6,308.2,1488.0,44.0,43.0,0,No Failure
L,298.5,308.2,1595.0,32.3,46.0,0,No Failure
L,298.5,308.1,1662.0,28.6,48.0,0,No Failure
L,298.4,308.0,1571.0,37.4,50.0,0,No Failure
H,298.3,308.0,1553.0,41.0,52.0,0,No Failure
L,298.3,308.0,2886.0,3.8,57.0,1,PWF
L,298.2,308.0,1538.0,38.2,59.0,0,No Failure
L,298.4,308.2,1618.0,33.0,61.0,0,No Failure
L,298.4,308.2,1364.0,45.9,63.0,0,No Failure
L,298.3,308.0,1442.0,47.3,65.0,0,No Failure
L,298.2,307.9,1313.0,67.3,67.0,1,PWF
L,298.2,307.9,1847.0,23.6,69.0,0,No Failure
L,298.1,307.8,1524.0,40.8,71.0,0,No Failure
M,298.1,307.7,1445.0,48.0,73.0,0,No Failure
L,298.1,307.8,1761.0,28.2,76.0,0,No Failure
M,298.1,307.8,1514.0,43.5,78.0,0,No Failure
M,298.1,307.7,1498.0,38.3,81.0,0,No Failure
H,298.1,307.6,1542.0,37.1,84.0,0,No Failure
M,298.0,307.6,1508.0,41.8,89.0,0,No Failure
M,298.0,307.5,1431.0,52.9,92.0,0,No Failure
M,298.0,307.5,1427.0,45.1,95.0,0,No Failure
M,298.0,307.5,1524.0,36.3,98.0,0,No Failure
M,298.0,307.5,1427.0,43.6,101.0,0,No Failure
H,298.1,307.6,1496.0,44.1,104.0,0,No Failure
L,298.1,307.7,1388.0,40.3,109.0,0,No Failure
L,298.1,307.7,1495.0,48.1,111.0,0,No Failure
H,298.1,307.7,1376.0,56.2,113.0,0,No Failure
H,298.0,307.6,1593.0,32.2,118.0,0,No Failure
L,298.0,307.6,1654.0,28.9,123.0,0,No Failure
L,298.1,307.7,2567.0,12.8,125.0,1,PWF
L,298.1,307.7,1767.0,27.0,127.0,0,No Failure
L,298.1,307.6,1364.0,53.8,129.0,0,No Failure
M,298.1,307.8,1569.0,31.2,131.0,0,No Failure
L,298.2,307.8,1476.0,36.8,134.0,0,No Failure
L,298.1,307.7,1479.0,45.0,136.0,0,No Failure
L,298.1,307.7,1650.0,34.1,138.0,0,No Failure
M,298.1,307.6,1565.0,36.3,140.0,0,No Failure
L,298.1,307.6,1460.0,46.5,143.0,0,No Failure
L,298.1,307.7,1664.0,27.6,145.0,0,No Failure
M,298.1,307.7,1435.0,40.9,147.0,0,No Failure
M,298.1,307.6,2066.0,19.2,150.0,0,No Failure
L,298.1,307.5,1493.0,43.7,153.0,0,No Failure
L,298.1,307.6,1354.0,43.3,155.0,0,No Failure
L,298.1,307.6,1488.0,39.4,157.0,0,No Failure
L,298.1,307.7,1414.0,48.7,159.0,0,No Failure
L,298.1,307.5,1391.0,57.4,161.0,0,No Failure
M,298.0,307.5,1784.0,27.8,163.0,0,No Failure
H,297.8,307.3,1516.0,40.1,166.0,0,No Failure
M,297.9,307.3,1420.0,47.8,171.0,0,No Failure
L,297.8,307.2,1351.0,56.3,174.0,0,No Failure
L,297.8,307.2,1880.0,23.0,176.0,0,No Failure
L,297.8,307.3,1859.0,24.0,178.0,0,No Failure
M,297.8,307.3,1315.0,54.0,180.0,0,No Failure
M,297.8,307.4,1330.0,51.7,183.0,0,No Failure
L,297.8,307.3,1327.0,61.0,186.0,1,OSF
L,297.8,307.2,1498.0,38.1,188.0,0,No Failure
H,297.8,307.3,1555.0,35.8,190.0,0,No Failure
L,297.7,307.2,1518.0,35.8,195.0,0,No Failure
L,297.7,307.2,1392.0,43.0,197.0,0,No Failure
M,297.8,307.2,1456.0,39.6,199.0,0,No Failure
L,297.7,307.1,1715.0,30.2,0.0,0,No Failure
M,297.7,307.2,1405.0,43.7,2.0,0,No Failure
L,297.7,307.2,1668.0,37.8,5.0,0,No Failure
H,297.7,307.1,1855.0,22.5,7.0,0,No Failure
L,297.6,307.1,1496.0,39.2,12.0,0,No Failure
M,297.6,307.1,1471.0,44.9,14.0,0,No Failure
L,297.7,307.2,1444.0,40.0,17.0,0,No Failure
H,297.7,307.3,1514.0,38.6,19.0,0,No Failure
L,297.8,307.3,1412.0,50.7,24.0,0,No Failure
H,297.7,307.2,1429.0,44.1,26.0,0,No Failure
L,297.7,307.2,1668.0,32.7,31.0,0,No Failure
M,297.7,307.2,1372.0,52.8,33.0,0,No Failure
M,297.7,307.3,1365.0,49.2,36.0,0,No Failure
M,297.6,307.1,1526.0,39.1,39.0,0,No Failure
L,297.6,307.2,1486.0,40.6,42.0,0,No Failure
M,297.6,307.2,1470.0,42.6,44.0,0,No Failure
H,297.7,307.3,1249.0,62.8,47.0,0,No Failure
M,297.8,307.4,1752.0,26.1,52.0,0,No Failure
L,297.7,307.4,1643.0,36.5,55.0,0,No Failure
M,297.8,307.4,1488.0,36.1,57.0,0,No Failure
L,297.8,307.4,1355.0,45.8,60.0,0,No Failure
L,297.8,307.6,1607.0,30.3,62.0,0,No Failure
M,297.9,307.6,1609.0,30.3,64.0,0,No Failure
L,297.9,307.7,1517.0,44.4,67.0,0,No Failure
M,297.9,307.7,1517.0,39.5,69.0,0,No Failure
L,297.9,307.7,1546.0,37.6,72.0,0,No Failure
L,297.9,307.7,1567.0,34.7,74.0,0,No Failure
M,298.1,307.9,1662.0,28.9,76.0,0,No Failure
L,298.1,307.9,1502.0,41.8,79.0,0,No Failure
L,298.3,308.0,1361.0,56.9,81.0,0,No Failure
M,298.3,308.1,1630.0,32.7,83.0,0,No Failure
L,298.3,308.0,1486.0,42.3,86.0,0,No Failure
L,298.3,308.1,1840.0,21.5,88.0,0,No Failure
L,298.3,308.1,1326.0,58.4,90.0,0,No Failure
L,298.4,308.1,1367.0,57.8,92.0,0,No Failure
L,298.4,308.1,1598.0,32.7,94.0,0,No Failure
L,298.3,308.0,1363.0,50.1,96.0,0,No Failure
L,298.3,308.0,1242.0,62.0,98.0,0,No Failure
M,298.2,307.8,1566.0,33.8,100.0,0,No Failure
M,298.1,307.7,1424.0,47.7,103.0,0,No Failure
M,298.2,307.7,1608.0,33.8,106.0,0,No Failure
L,298.1,307.7,1705.0,29.1,109.0,0,No Failure
L,298.0,307.6,1548.0,45.8,111.0,0,No Failure
M,298.0,307.6,1581.0,43.4,113.0,0,No Failure
M,298.0,307.6,1472.0,46.7,116.0,0,No Failure
M,298.0,307.6,1792.0,26.0,119.0,0,No Failure
L,298.0,307.6,1683.0,32.8,122.0,0,No Failure
L,297.9,307.6,1503.0,40.7,124.0,0,No Failure
M,297.9,307.5,1642.0,32.4,126.0,0,No Failure
M,297.8,307.4,1902.0,24.3,129.0,0,No Failure
H,297.7,307.4,1432.0,40.2,132.0,0,No Failure
L,297.8,307.4,1512.0,40.8,137.0,0,No Failure
L,297.7,307.4,1764.0,29.0,139.0,0,No Failure
M,297.8,307.4,1438.0,43.6,141.0,0,No Failure
L,297.8,307.5,1631.0,29.9,144.0,0,No Failure
H,297.9,307.5,1880.0,23.3,146.0,0,No Failure
L,297.9,307.6,1344.0,54.3,151.0,0,No Failure
L,297.9,307.5,1574.0,35.8,153.0,0,No Failure
L,297.8,307.4,1418.0,41.2,155.0,0,No Failure
L,297.8,307.5,1372.0,54.1,157.0,0,No Failure
L,297.8,307.5,1388.0,40.0,159.0,0,No Failure
H,297.9,307.6,1493.0,36.0,161.0,0,No Failure
M,297.9,307.6,1505.0,40.1,166.0,0,No Failure
L,298.0,307.6,1694.0,29.1,169.0,0,No Failure
L,297.9,307.6,1968.0,20.4,171.0,0,No Failure
M,298.0,307.6,1569.0,35.6,173.0,0,No Failure
L,297.9,307.6,1687.0,29.1,176.0,0,No Failure
L,297.9,307.6,1430.0,52.4,178.0,0,No Failure
L,297.9,307.6,1504.0,42.4,180.0,0,No Failure
L,297.9,307.6,1977.0,20.2,182.0,0,No Failure
L,298.0,307.7,1435.0,45.6,184.0,0,No Failure
H,298.0,307.7,1547.0,36.8,186.0,0,No Failure
M,298.1,307.8,1316.0,57.2,191.0,0,No Failure
M,298.0,307.7,1621.0,34.9,194.0,0,No Failure
M,298.0,307.8,1492.0,40.2,197.0,0,No Failure
L,298.0,307.7,1643.0,32.3,200.0,0,No Failure
L,298.0,307.7,1492.0,38.7,202.0,0,No Failure
L,298.0,307.7,1387.0,50.8,204.0,0,No Failure
M,298.1,307.9,1463.0,47.3,206.0,0,No Failure
M,298.1,307.9,1496.0,40.0,0.0,0,No Failure
L,298.2,308.0,1658.0,30.0,3.0,0,No Failure
L,298.1,307.9,2161.0,17.5,5.0,0,No Failure
L,298.1,307.9,1665.0,32.0,7.0,0,No Failure
L,298.0,307.8,1716.0,26.6,9.0,0,No Failure
L,298.0,307.7,1529.0,34.1,11.0,0,No Failure
L,297.9,307.7,1353.0,50.7,13.0,0,No Failure
L,297.9,307.7,1537.0,37.7,15.0,0,No Failure
L,298.0,307.7,1606.0,30.8,17.0,0,No Failure
H,298.0,307.8,1314.0,47.8,19.0,0,No Failure
L,298.0,307.8,1623.0,29.9,24.0,0,No Failure
M,298.0,307.8,1483.0,50.9,26.0,0,No Failure
M,298.1,307.9,1569.0,37.0,29.0,0,No Failure
M,298.2,308.0,1969.0,21.7,32.0,0,No Failure
M,298.1,308.0,1686.0,29.3,35.0,0,No Failure
L,298.1,308.0,1638.0,35.1,38.0,0,No Failure
L,298.1,307.9,1698.0,33.3,40.0,0,No Failure
M,298.1,307.9,1377.0,55.1,42.0,0,No Failure
M,298.1,308.0,2129.0,18.4,45.0,0,No Failure
L,298.2,308.0,1411.0,42.4,48.0,0,No Failure
L,298.1,307.9,1517.0,40.8,50.0,0,No Failure
M,298.1,307.9,1303.0,53.9,52.0,0,No Failure
L,298.1,307.9,1578.0,35.6,55.0,0,No Failure
L,298.1,307.9,1425.0,58.2,57.0,0,No Failure
L,298.1,308.0,1456.0,42.4,59.0,0,No Failure
L,298.1,308.0,1704.0,30.9,61.0,0,No Failure
L,298.1,308.1,1791.0,27.3,63.0,0,No Failure
L,298.1,308.1,1616.0,32.8,65.0,0,No Failure
L,298.2,308.1,1622.0,34.9,67.0,0,No Failure
L,298.2,308.1,1462.0,49.9,69.0,0,No Failure
L,298.1,308.1,1410.0,45.8,71.0,0,No Failure
M,298.1,308.0,1543.0,41.9,73.0,0,No Failure
M,298.0,307.9,1479.0,47.6,76.0,0,No Failure
L,298.0,307.8,1839.0,22.7,79.0,0,No Failure
L,298.0,307.8,1266.0,60.5,81.0,0,No Failure
L,297.9,307.7,1593.0,34.9,83.0,0,No Failure
L,297.9,307.8,1459.0,46.9,85.0,0,No Failure
L,297.9,307.7,1308.0,55.2,87.0,0,No Failure
M,297.9,307.7,1364.0,46.8,89.0,0,No Failure
H,297.9,307.7,1618.0,35.9,92.0,0,No Failure
H,297.9,307.7,1464.0,43.2,97.0,0,No Failure
M,297.8,307.6,1352.0,49.4,102.0,0,No Failure
L,297.8,307.6,1446.0,51.4,105.0,0,No Failure
L,297.8,307.5,1448.0,51.2,107.0,0,No Failure
L,297.8,307.5,1391.0,48.6,109.0,0,No Failure
L,297.7,307.5,1379.0,43.3,111.0,0,No Failure
M,297.8,307.5,1405.0,46.9,113.0,0,No Failure
L,297.8,307.5,1581.0,33.1,116.0,0,No Failure
L,297.9,307.6,1515.0,40.5,118.0,0,No Failure
L,297.9,307.6,1589.0,37.8,120.0,0,No Failure
L,298.0,307.6,1281.0,50.8,122.0,0,No Failure
H,297.8,307.5,1631.0,31.3,124.0,0,No Failure
M,297.9,307.6,1202.0,67.0,129.0,0,No Failure
L,297.9,307.6,1298.0,52.7,132.0,0,No Failure
L,297.9,307.6,1612.0,30.7,134.0,0,No Failure
L,297.9,307.6,1747.0,25.3,136.0,0,No Failure
L,298.0,307.6,1450.0,48.7,138.0,0,No Failure
L,298.0,307.7,1422.0,45.6,140.0,0,No Failure
M,298.1,307.7,1419.0,47.4,142.0,0,No Failure
M,298.1,307.7,1633.0,30.7,145.0,0,No Failure
L,298.0,307.7,1442.0,43.6,148.0,0,No Failure
H,298.0,307.6,1420.0,45.8,150.0,0,No Failure
M,298.0,307.6,1301.0,58.5,155.0,0,No Failure
L,298.0,307.6,1385.0,45.0,158.0,0,No Failure
M,298.0,307.7,1487.0,41.3,160.0,0,No Failure
M,298.0,307.6,1459.0,44.4,163.0,0,No Failure
M,298.0,307.5,1387.0,45.5,166.0,0,No Failure
L,298.1,307.7,1537.0,40.8,169.0,0,No Failure
L,298.1,307.6,1498.0,42.9,171.0,0,No Failure
M,298.2,307.8,1599.0,31.2,173.0,0,No Failure
H,298.3,307.9,1420.0,39.2,176.0,0,No Failure
L,298.2,307.9,1785.0,23.4,181.0,0,No Failure
L,298.2,307.8,1423.0,48.1,183.0,0,No Failure
M,298.2,307.8,1583.0,36.6,185.0,0,No Failure
L,298.2,307.8,1375.0,46.6,188.0,0,No Failure
M,298.3,308.0,1463.0,42.5,190.0,0,No Failure
M,298.2,307.9,1403.0,45.1,193.0,0,No Failure
L,298.3,308.0,1451.0,47.1,196.0,0,No Failure
M,298.4,308.0,1416.0,38.2,198.0,1,TWF
L,298.3,308.1,1672.0,41.3,0.0,0,No Failure
H,298.3,308.0,1637.0,30.8,2.0,0,No Failure
L,298.4,308.0,1540.0,37.8,7.0,0,No Failure
L,298.4,308.1,1279.0,53.1,9.0,0,No Failure
L,298.4,308.2,1604.0,34.9,11.0,0,No Failure
L,298.5,308.2,1654.0,27.1,13.0,0,No Failure
M,298.5,308.2,1564.0,37.5,15.0,0,No Failure
L,298.5,308.2,1451.0,47.5,18.0,0,No Failure
L,298.5,308.3,1504.0,38.0,20.0,0,No Failure
M,298.5,308.3,1381.0,50.5,22.0,0,No Failure
L,298.6,308.4,1562.0,34.4,25.0,0,No Failure
L,298.5,308.3,1811.0,24.7,27.0,0,No Failure
M,298.6,308.3,1717.0,28.7,29.0,0,No Failure
L,298.6,308.3,1278.0,60.5,32.0,0,No Failure
L,298.7,308.5,1616.0,30.2,34.0,0,No Failure
L,298.6,308.4,1397.0,46.4,36.0,0,No Failure
L,298.6,308.4,1485.0,42.9,38.0,0,No Failure
L,298.6,308.4,1310.0,59.7,40.0,0,No Failure
L,298.5,308.2,1301.0,66.3,42.0,1,PWF
L,298.5,308.3,1458.0,44.0,44.0,0,No Failure
L,298.7,308.5,1483.0,42.5,46.0,0,No Failure
L,298.7,308.5,1375.0,46.4,48.0,0,No Failure
M,298.7,308.5,1660.0,27.0,50.0,0,No Failure
H,298.7,308.4,1560.0,33.3,53.0,0,No Failure
L,298.7,308.5,1480.0,42.2,58.0,0,No Failure
L,298.7,308.4,1373.0,46.9,60.0,0,No Failure
L,298.7,308.5,1444.0,54.2,62.0,0,No Failure
M,298.7,308.6,1722.0,24.7,64.0,0,No Failure
L,298.7,308.5,1469.0,39.9,67.0,0,No Failure
M,298.7,308.5,1360.0,52.9,69.0,0,No Failure
L,298.7,308.4,1750.0,25.8,72.0,0,No Failure
M,298.7,308.3,1349.0,46.6,74.0,0,No Failure
L,298.7,308.5,1668.0,35.2,77.0,0,No Failure
L,298.9,308.6,1400.0,49.5,79.0,0,No Failure
L,298.8,308.6,1331.0,62.8,81.0,0,No Failure
L,298.8,308.5,1444.0,42.2,83.0,0,No Failure
H,298.8,308.5,1359.0,47.6,85.0,0,No Failure
M,298.8,308.5,1425.0,47.4,90.0,0,No Failure
M,298.9,308.6,1469.0,34.2,93.0,0,No Failure
L,299.0,308.7,1892.0,22.8,96.0,0,No Failure
H,299.0,308.7,1940.0,19.9,98.0,0,No Failure
L,299.0,308.8,1405.0,55.2,103.0,0,No Failure
M,299.0,308.9,1449.0,39.6,105.0,0,No Failure
L,299.1,308.9,1686.0,29.6,108.0,0,No Failure
L,299.1,308.9,1680.0,27.2,110.0,0,No Failure
M,299.1,308.9,1397.0,52.4,112.0,0,No Failure
M,299.2,309.0,1597.0,30.3,115.0,0,No Failure
L,299.3,309.1,1470.0,41.1,118.0,0,No Failure
M,299.3,309.1,1703.0,31.3,120.0,0,No Failure
L,299.3,309.1,1388.0,45.5,123.0,0,No Failure
L,299.3,309.2,1775.0,24.2,125.0,0,No Failure
L,299.3,309.2,1465.0,41.5,127.0,0,No Failure
M,299.3,309.2,1586.0,37.9,129.0,0,No Failure
M,299.5,309.3,1675.0,29.2,132.0,0,No Failure
M,299.4,309.2,1470.0,44.4,135.0,0,No Failure
L,299.5,309.3,1477.0,40.4,138.0,0,No Failure
L,299.5,309.3,1382.0,61.0,140.0,0,No Failure
M,299.6,309.4,1605.0,29.8,142.0,0,No Failure
L,299.6,309.4,1643.0,32.9,145.0,0,No Failure
L,299.5,309.3,1333.0,54.1,147.0,0,No Failure
L,299.5,309.3,1520.0,42.3,149.0,0,No Failure
M,299.5,309.3,1902.0,24.0,151.0,0,No Failure
H,299.5,309.4,1386.0,44.4,154.0,0,No Failure
L,299.6,309.5,1803.0,27.7,159.0,0,No Failure
L,299.7,309.6,1359.0,50.7,161.0,0,No Failure
M,299.7,309.6,1477.0,42.7,163.0,0,No Failure
L,299.7,309.6,1321.0,53.4,166.0,0,No Failure
L,299.6,309.5,1453.0,41.4,168.0,0,No Failure
L,299.7,309.6,1419.0,45.1,170.0,0,No Failure
L,299.7,309.6,1512.0,36.2,172.0,0,No Failure
L,299.7,309.6,1553.0,36.8,174.0,0,No Failure
M,299.7,309.6,1534.0,39.1,176.0,0,No Failure
H,299.7,309.6,1553.0,41.0,179.0,0,No Failure
L,299.7,309.5,1352.0,49.7,184.0,0,No Failure
M,299.7,309.6,1313.0,60.0,186.0,0,No Failure
L,299.6,309.4,1677.0,31.1,191.0,0,No Failure
L,299.5,309.4,1602.0,31.5,193.0,0,No Failure
L,299.5,309.4,1390.0,58.8,195.0,1,OSF
L,299.4,309.3,1544.0,36.0,197.0,0,No Failure
L,299.4,309.4,1701.0,31.2,199.0,0,No Failure
M,299.4,309.3,1692.0,28.4,201.0,0,No Failure
M,299.3,309.3,1523.0,37.9,204.0,0,No Failure
L,299.3,309.2,2280.0,15.4,207.0,0,No Failure
M,299.4,309.3,1485.0,47.1,209.0,0,No Failure
H,299.4,309.2,1513.0,36.1,212.0,0,No Failure
H,299.4,309.3,1743.0,28.2,0.0,0,No Failure
L,299.5,309.3,1442.0,46.2,5.0,0,No Failure
L,299.5,309.3,1462.0,46.7,7.0,0,No Failure
H,299.4,309.3,1439.0,49.7,9.0,0,No Failure
L,299.5,309.3,1577.0,36.6,14.0,0,No Failure
L,299.6,309.4,1331.0,46.4,16.0,0,No Failure
L,299.5,309.3,1941.0,22.5,18.0,0,No Failure
L,299.5,309.2,1393.0,47.3,20.0,0,No Failure
L,299.4,309.2,1433.0,42.1,22.0,0,No Failure
L,299.4,309.2,1444.0,48.2,24.0,0,No Failure
L,299.4,309.2,1564.0,39.0,26.0,0,No Failure
L,299.4,309.3,1377.0,43.6,28.0,0,No Failure
L,299.4,309.3,1525.0,41.5,30.0,0,No Failure
M,299.5,309.4,1387.0,56.2,32.0,0,No Failure
M,299.4,309.4,1326.0,47.5,35.0,0,No Failure
L,299.4,309.3,1401.0,59.0,38.0,0,No Failure
L,299.4,309.3,1596.0,31.8,40.0,0,No Failure
M,299.3,309.3,1471.0,46.0,42.0,0,No Failure
L,299.3,309.3,1528.0,37.8,45.0,0,No Failure
L,299.3,309.3,1325.0,62.0,47.0,0,No Failure
M,299.3,309.1,1376.0,46.7,49.0,0,No Failure
M,299.3,309.1,1600.0,35.3,52.0,0,No Failure
L,299.3,309.1,1495.0,44.0,55.0,0,No Failure
L,299.4,309.1,1645.0,28.6,57.0,0,No Failure
M,299.4,309.1,1417.0,47.3,59.0,0,No Failure
H,299.4,309.0,1415.0,51.7,62.0,0,No Failure
M,299.3,309.0,1496.0,43.4,67.0,0,No Failure
H,299.3,309.0,1508.0,35.0,70.0,0,No Failure
L,299.4,309.0,1436.0,47.9,75.0,0,No Failure
